titre,date_soumission,porteur_projet,destinataire,resume_projet,objectifs_projet,description_projet,localisation,beneficiaires,budget_previsionnel,conclusion
Projet Éducation #1,2025-06-27,Organisation Éducation 1,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Mbuji-Mayi.,Mbuji-Mayi,2234 bénéficiaires,48786 USD,Ce projet contribuera significativement au développement du secteur éducation à Mbuji-Mayi.
Projet Éducation #2,2025-06-08,Organisation Éducation 2,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Goma.,Goma,8324 bénéficiaires,29682 USD,Ce projet contribuera significativement au développement du secteur éducation à Goma.
Projet Éducation #3,2025-07-01,Organisation Éducation 3,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Mbuji-Mayi.,Mbuji-Mayi,8694 bénéficiaires,33492 USD,Ce projet contribuera significativement au développement du secteur éducation à Mbuji-Mayi.
Projet Commerce #4,2025-06-08,Organisation Commerce 4,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Matadi.,Matadi,3873 bénéficiaires,93189 USD,Ce projet contribuera significativement au développement du secteur commerce à Matadi.
Projet Énergie #5,2025-06-04,Organisation Énergie 5,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Bukavu.,Bukavu,4044 bénéficiaires,57688 USD,Ce projet contribuera significativement au développement du secteur énergie à Bukavu.
Projet Énergie #6,2025-07-01,Organisation Énergie 6,Emergence SARL,Résumé du projet dans le domaine énergie pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur énergie à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine énergie à Kananga.,Kananga,6020 bénéficiaires,59380 USD,Ce projet contribuera significativement au développement du secteur énergie à Kananga.
Projet Environnement #7,2025-06-25,Organisation Environnement 7,Emergence SARL,Résumé du projet dans le domaine environnement pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur environnement à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine environnement à Mbuji-Mayi.,Mbuji-Mayi,4070 bénéficiaires,33391 USD,Ce projet contribuera significativement au développement du secteur environnement à Mbuji-Mayi.
Projet Éducation #8,2025-06-02,Organisation Éducation 8,Emergence SARL,Résumé du projet dans le domaine éducation pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur éducation à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine éducation à Tshikapa.,Tshikapa,4316 bénéficiaires,73181 USD,Ce projet contribuera significativement au développement du secteur éducation à Tshikapa.
Projet Commerce #9,2025-06-17,Organisation Commerce 9,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Kinshasa.,Kinshasa,6261 bénéficiaires,44955 USD,Ce projet contribuera significativement au développement du secteur commerce à Kinshasa.
Projet Agriculture #10,2025-06-14,Organisation Agriculture 10,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Kinshasa.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Kinshasa.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Kinshasa.,Kinshasa,5329 bénéficiaires,75175 USD,Ce projet contribuera significativement au développement du secteur agriculture à Kinshasa.
Projet Santé #11,2025-06-02,Organisation Santé 11,Emergence SARL,Résumé du projet dans le domaine santé pour la ville de Kikwit.,Objectifs spécifiques liés à l'amélioration du secteur santé à Kikwit.,Ce projet vise à mettre en œuvre une solution dans le domaine santé à Kikwit.,Kikwit,3366 bénéficiaires,59286 USD,Ce projet contribuera significativement au développement du secteur santé à Kikwit.
Projet Construction #12,2025-06-16,Organisation Construction 12,Emergence SARL,Résumé du projet dans le domaine construction pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur construction à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine construction à Tshikapa.,Tshikapa,3954 bénéficiaires,95896 USD,Ce projet contribuera significativement au développement du secteur construction à Tshikapa.
Projet Agriculture #13,2025-06-03,Organisation Agriculture 13,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Goma.,Goma,7468 bénéficiaires,53268 USD,Ce projet contribuera significativement au développement du secteur agriculture à Goma.
Projet Agriculture #14,2025-06-28,Organisation Agriculture 14,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Bukavu.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Bukavu.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Bukavu.,Bukavu,5010 bénéficiaires,40655 USD,Ce projet contribuera significativement au développement du secteur agriculture à Bukavu.
Projet Transport #15,2025-06-03,Organisation Transport 15,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur transport à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Goma.,Goma,2914 bénéficiaires,38213 USD,Ce projet contribuera significativement au développement du secteur transport à Goma.
Projet Transport #16,2025-06-03,Organisation Transport 16,Emergence SARL,Résumé du projet dans le domaine transport pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur transport à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine transport à Tshikapa.,Tshikapa,2410 bénéficiaires,22847 USD,Ce projet contribuera significativement au développement du secteur transport à Tshikapa.
Projet Agriculture #17,2025-06-18,Organisation Agriculture 17,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Mbuji-Mayi.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Mbuji-Mayi.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Mbuji-Mayi.,Mbuji-Mayi,9180 bénéficiaires,72812 USD,Ce projet contribuera significativement au développement du secteur agriculture à Mbuji-Mayi.
Projet Agriculture #18,2025-06-15,Organisation Agriculture 18,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Kananga.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Kananga.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Kananga.,Kananga,5129 bénéficiaires,70589 USD,Ce projet contribuera significativement au développement du secteur agriculture à Kananga.
Projet Agriculture #19,2025-06-24,Organisation Agriculture 19,Emergence SARL,Résumé du projet dans le domaine agriculture pour la ville de Matadi.,Objectifs spécifiques liés à l'amélioration du secteur agriculture à Matadi.,Ce projet vise à mettre en œuvre une solution dans le domaine agriculture à Matadi.,Matadi,4840 bénéficiaires,52389 USD,Ce projet contribuera significativement au développement du secteur agriculture à Matadi.
Projet Tourisme #20,2025-06-30,Organisation Tourisme 20,Emergence SARL,Résumé du projet dans le domaine tourisme pour la ville de Tshikapa.,Objectifs spécifiques liés à l'amélioration du secteur tourisme à Tshikapa.,Ce projet vise à mettre en œuvre une solution dans le domaine tourisme à Tshikapa.,Tshikapa,5276 bénéficiaires,42867 USD,Ce projet contribuera significativement au développement du secteur tourisme à Tshikapa.
Projet Commerce #21,2025-06-13,Organisation Commerce 21,Emergence SARL,Résumé du projet dans le domaine commerce pour la ville de Goma.,Objectifs spécifiques liés à l'amélioration du secteur commerce à Goma.,Ce projet vise à mettre en œuvre une solution dans le domaine commerce à Goma.,Goma,8959 bénéficiaires,21276 USD,Ce projet contribuera significativement au développement du secteur commerce à Goma.
