titre,date_soumission,porteur_projet,destinataire,resume_projet,objectifs_projet,description_projet,localisation,beneficiaires,budget_previsionnel,conclusion
"Projet de Fintech #1,05/02/2025,StartUp RDC,Emergence SARL,Ce projet vise à renforcer le secteur de fintech dans la région de Kisangani.,Améliorer les conditions dans le domaine de fintech pour les étudiants.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec fintech."",Kisangani,étudiants,128850 USD,Il nécessite un soutien technique et financier."
"Projet de Formation #2,06/11/2024,Green Congo,Investisseurs Privés,Ce projet vise à renforcer le secteur de formation dans la région de Bukavu.,Améliorer les conditions dans le domaine de formation pour les PME locales.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec formation."",Bukavu,PME locales,130737 USD,Nous sollicitons une analyse approfondie par Emergence."
"Projet de Éducation #3,06/06/2024,StartUp RDC,Incubateur Émergence,Ce projet vise à renforcer le secteur de éducation dans la région de Matadi.,Améliorer les conditions dans le domaine de éducation pour les centres de santé.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec éducation."",Matadi,centres de santé,159675 USD,Il nécessite un soutien technique et financier."
"Projet de Construction #4,12/04/2024,AGRI-DEV,Ministère de l'Économie,Ce projet vise à renforcer le secteur de construction dans la région de Bukavu.,Améliorer les conditions dans le domaine de construction pour les étudiants.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec construction."",Bukavu,étudiants,24699 USD,Nous espérons un accompagnement stratégique."
"Projet de Formation #5,15/03/2025,Femmes d'Impact,Investisseurs Privés,Ce projet vise à renforcer le secteur de formation dans la région de Lubumbashi.,Améliorer les conditions dans le domaine de formation pour les PME locales.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec formation."",Lubumbashi,PME locales,108526 USD,Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Sante #6,04/10/2024,Jeunes Entrepreneurs Kin,Incubateur Émergence,Ce projet vise à renforcer le secteur de sante dans la région de Kisangani.,Améliorer les conditions dans le domaine de sante pour les centres de santé.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec sante."",Kisangani,centres de santé,40584 USD,Sa mise en œuvre rapide est cruciale pour la zone ciblée."
"Projet de Éducation #7,20/01/2024,TechnoPlus,Emergence SARL,Ce projet vise à renforcer le secteur de éducation dans la région de Lubumbashi.,Améliorer les conditions dans le domaine de éducation pour les centres de santé.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec éducation."",Lubumbashi,centres de santé,61009 USD,Nous sollicitons une analyse approfondie par Emergence."
"Projet de Construction #8,24/01/2025,AGRI-DEV,Investisseurs Privés,Ce projet vise à renforcer le secteur de construction dans la région de Matadi.,Améliorer les conditions dans le domaine de construction pour les PME locales.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec construction."",Matadi,PME locales,118858 USD,Nous espérons un accompagnement stratégique."
"Projet de Tourisme #9,06/06/2025,Médicorp,Ministère de l'Économie,Ce projet vise à renforcer le secteur de tourisme dans la région de Kisangani.,Améliorer les conditions dans le domaine de tourisme pour les populations urbaines.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec tourisme."",Kisangani,populations urbaines,14987 USD,Nous espérons un accompagnement stratégique."
"Projet de Agriculture #10,27/03/2025,Médicorp,Ministère de l'Économie,Ce projet vise à renforcer le secteur de agriculture dans la région de Matadi.,Améliorer les conditions dans le domaine de agriculture pour les centres de santé.,""Le projet prévoit plusieurs activités telles que la formation, la dotation en équipements, et la sensibilisation communautaire en lien avec agriculture."",Matadi,centres de santé,79239 USD,Nous espérons un accompagnement stratégique."
